iter	Passed	Remaining
159	900	4729
160	905	4719
161	910	4711
162	912	4687
163	914	4661
164	916	4636
165	924	4644
166	926	4620
167	938	4648
168	940	4625
169	942	4601
170	944	4577
171	946	4554
172	957	4575
173	960	4559
174	963	4540
175	970	4545
176	972	4521
177	974	4500
178	987	4528
179	989	4507
180	992	4491
181	994	4468
182	1001	4470
183	1002	4447
184	1004	4426
185	1011	4424
186	1017	4423
187	1019	4404
188	1022	4388
189	1029	4390
190	1040	4408
191	1050	4420
192	1053	4403
193	1059	4403
194	1069	4416
195	1073	4401
196	1075	4383
197	1077	4364
198	1085	4367
199	1089	4356
200	1092	4341
201	1103	4357
202	1107	4347
203	1110	4334
204	1115	4325
205	1120	4318
206	1122	4300
207	1134	4320
208	1136	4303
209	1140	4289
210	1146	4285
211	1149	4271
212	1158	4281
213	1162	4268
214	1164	4250
215	1165	4231
216	1171	4228
217	1176	4221
218	1178	4203
219	1180	4186
220	1182	4167
221	1192	4178
222	1194	4162
223	1196	4145
224	1204	4149
225	1206	4132
226	1208	4114
227	1212	4107
228	1223	4120
229	1235	4136
230	1242	4136
231	1244	4120
232	1249	4112
233	1257	4114
234	1266	4123
235	1268	4107
236	1277	4113
237	1286	4117
238	1303	4151
239	1306	4137
240	1308	4122
241	1316	4125
242	1320	4114
243	1333	4130
244	1335	4116
245	1339	4104
246	1348	4112
247	1363	4134
248	1374	4145
249	1376	4129
250	1378	4114
251	1393	4135
252	1395	4120
253	1404	4124
254	1406	4108
255	1419	4125
256	1422	4112
257	1424	4096
258	1428	4086
259	1434	4082
260	1436	4067
261	1449	4083
262	1452	4071
263	1454	4056
264	1464	4060
265	1471	4060
266	1481	4067
267	1483	4052
268	1486	4039
269	1497	4047
270	1499	4034
271	1508	4037
272	1515	4034
273	1525	4041
274	1529	4033
275	1545	4052
276	1548	4042
277	1562	4057
278	1565	4045
279	1570	4037
280	1572	4022
281	1584	4034
282	1596	4046
283	1599	4032
284	1620	4065
285	1623	4052
286	1637	4066
287	1639	4053
288	1652	4066
289	1663	4073
290	1667	4062
291	1669	4047
292	1680	4055
293	1683	4041
294	1695	4052
295	1708	4063
296	1712	4054
297	1725	4065
298	1728	4052
299	1730	4038
300	1733	4025
301	1739	4019
302	1745	4016
303	1752	4011
304	1755	4001
305	1758	3987
306	1760	3974
307	1775	3989
308	1779	3980
309	1788	3980
310	1791	3969
311	1794	3956
312	1802	3956
313	1806	3945
314	1808	3932
315	1811	3920
316	1819	3920
317	1821	3906
318	1823	3892
319	1825	3878
320	1834	3880
321	1837	3869
322	1840	3858
323	1847	3854
324	1849	3841
325	1855	3836
326	1871	3852
327	1879	3850
328	1881	3837
329	1887	3831
330	1897	3835
331	1899	3822
332	1903	3813
333	1914	3817
334	1918	3807
335	1920	3794
336	1928	3793
337	1930	3780
338	1944	3792
339	1949	3784
340	1956	3780
341	1958	3768
342	1961	3757
343	1973	3764
344	1991	3781
345	1997	3774
346	2009	3781
347	2029	3803
348	2032	3791
349	2045	3799
350	2048	3786
351	2057	3788
352	2060	3776
353	2063	3765
354	2074	3768
355	2079	3761
356	2089	3763
357	2092	3752
358	2095	3741
359	2101	3736
360	2106	3728
361	2108	3716
362	2110	3704
363	2116	3698
364	2118	3685
365	2120	3672
366	2125	3666
367	2134	3664
368	2137	3654
369	2138	3642
370	2141	3629
371	2146	3624
372	2149	3612
373	2150	3600
374	2152	3587
375	2154	3575
376	2165	3578
377	2167	3566
378	2168	3553
379	2170	3541
380	2172	3528
381	2176	3520
382	2177	3508
383	2182	3501
384	2185	3490
385	2186	3478
386	2188	3466
387	2191	3456
388	2192	3444
389	2194	3432
390	2196	3420
391	2197	3408
392	2200	3397
393	2202	3386
394	2203	3375
395	2205	3363
396	2206	3352
397	2208	3340
398	2216	3339
399	2218	3327
400	2219	3316
401	2221	3304
402	2223	3293
403	2224	3281
404	2229	3275
405	2231	3264
406	2232	3253
407	2233	3241
408	2235	3230
409	2240	3224
410	2242	3213
411	2243	3202
412	2245	3191
413	2246	3179
414	2247	3168
415	2248	3157
416	2250	3145
417	2251	3134
418	2257	3130
419	2258	3119
420	2260	3108
